SN,identifier,group_name,fiscal_year_id,date,district_id,rural_municipality_id,ward_no,component_id,sub_component_id,group_type_id,,,,,,,,
41,A-2-C-751,Ma Bhagwati Mahila Krishak Samuha,2077/078,2077-04-06,21,164,3,Component A,Crop,Others,,,,,,,,
42,A-2-C-753,Rajdevi Krishak Samuha,2077/078,2077-06-23,21,164,3,Component A,Crop,Others,,,,,,,,
43,A-2-C-754,Ramjanaki Bali Utpadan Samuha,2077/078,2077-06-02,21,164,3,Component A,Crop,Others,,,,,,,,
44,A-2-C-756,Shivashakti Krishak Samuha,2077/078,2077-06-28,21,164,3,Component A,Crop,Others,,,,,,,,
45,A-2-C-757,Yagya Bhumi Bali Utpadan Krishak Samuha,2077/078,2077-06-07,21,164,4,Component A,Crop,Others,,,,,,,,
46,A-2-C-764,Bajarang Bali Utpadan Krishak Pathshala Samuha,2077/078,2077-06-02,21,164,2,Component A,Crop,FFS (Crop),,,,,,,,
47,A-2-C-765,Dihibarni Bali Utpadan Krishak Pathshala Samuha,2077/078,2077-05-19,21,164,5,Component A,Crop,FFS (Crop),,,,,,,,
48,A-2-C-766,Shiv Bali Utpadan Krishak Pathshala Samuha,2077/078,2077-04-32,21,164,2,Component A,Crop,FFS (Crop),,,,,,,,
49,A-2-C-768,Shiv Shakti Bali Utpadan Krishak Pathshala Samuha,2077/078,2077-05-24,21,164,5,Component A,Crop,FFS (Crop),,,,,,,,
50,A-2-C-769,Jyotii Bali Utpadan Krishak Pathshala Samuha Tulsipur,2077/078,2077-06-23,21,164,2,Component A,Crop,FFS (Crop),,,,,,,,
51,A-2-C-771,Ma Laxmee Bali Utpadan Krishak Pathshala Samuha,2077/078,2077-06-22,21,164,5,Component A,Crop,FFS (Crop),,,,,,,,
52,A-2-C-783,Baneshwar Nath Krishak Samuha,2077/078,2077-06-01,21,164,2,Component A,Crop,Others,,,,,,,,
53,A-2-C-784,Durga Maai Krishak Samuha,2077/078,2077-06-25,21,164,5,Component A,Crop,Others,,,,,,,,
54,A-2-C-785,Gaurishankar Krishak Samuha,2077/078,2077-12-23,21,164,2,Component A,Crop,Others,,,,,,,,
55,A-2-C-786,Laxmi Maai Krishak Samuha,2077/078,2077-10-22,21,164,2,Component A,Crop,Others,,,,,,,,
56,A-2-C-787,Maha Gayatri Krishak Samuha,2077/078,2077-06-28,21,164,5,Component A,Crop,Others,,,,,,,,
57,A-2-C-788,Ma Parbati Krishak Samuha,2077/078,2077-12-29,21,164,5,Component A,Crop,Others,,,,,,,,
58,A-2-C-789,Ma Santoshi Krishak Samuha,2077/078,2077-10-11,21,164,2,Component A,Crop,Others,,,,,,,,
59,A-2-C-790,Sakhara Mai Krishak Samuha,2077/078,2077-06-18,21,164,5,Component A,Crop,Others,,,,,,,,
60,A-2-C-791,Tulshi Krishak Samuha,2077/078,2077-12-23,21,164,2,Component A,Crop,Others,,,,,,,,
61,A-2-C-792,Raj devi Krishak Samuha,2077/078,2077-06-27,21,164,5,Component A,Crop,Others,,,,,,,,
62,A-2-D-798,Dip Jyoti Bali Utpadan Krishak Pathshala Samuha,2077/078,2077-05-24,21,Bariyarpatti,1,Component A,Crop,FFS (Crop),,,,,,,,
63,A-2-D-799,Harsingh Baba Bali Utpadan Krishak Pathshala Samuha,2077/078,2077-06-05,21,Bariyarpatti,4,Component A,Crop,FFS (Crop),,,,,,,,
64,A-2-D-800,Jay Ma Basmati IPM Bali Utpadan Krishak Pathshala Samuha,2077/078,2077-04-02,21,Bariyarpatti,4,Component A,Crop,FFS (Crop),,,,,,,,
65,A-2-D-801, Jay Ma Bhagwati Bali Utpadan Krishak Pathshala Samuha,2077/078,2077-05-31,21,Bariyarpatti,3,Component A,Crop,FFS (Crop),,,,,,,,
66,A-2-D-802,Jay Shiva Shakti Bali Utpadan Krishak Pathshala Samuha,2077/078,2077-06-08,21,Bariyarpatti,5,Component A,Crop,FFS (Crop),,,,,,,,
67,A-2-D-803,Krishna Mishrit Bali Utpadan Krishak Pathshala Samuha,2077/078,2077-06-10,21,Bariyarpatti,4,Component A,Crop,FFS (Crop),,,,,,,,
68,A-2-D-804,Mahadev Bali Utpadan Krishak Pathshala Samuha,2077/078,2077-06-07,21,Bariyarpatti,1,Component A,Crop,FFS (Crop),,,,,,,,
69,A-2-D-805,Shree Narsingh Baba Bali Utpadan Krishak Pathshala Samuha,2077/078,2077-06-06,21,Bariyarpatti,3,Component A,Crop,FFS (Crop),,,,,,,,
70,A-2-D-806,Ramjanaki Bali Utpadan Krishak Pathshala Samuha,2077/078,2077-05-23,21,Bariyarpatti,1,Component A,Crop,FFS (Crop),,,,,,,,
71,A-2-D-807,Sarswati Crop Production FFS Group,2077/078,2077-06-01,21,Bariyarpatti,5,Component A,Crop,FFS (Crop),,,,,,,,
72,A-2-D-808,Shivashakti Bali Utpadan Krishak Pathshala Samuha,2077/078,2077-05-19,21,Bariyarpatti,1,Component A,Crop,FFS (Crop),,,,,,,,
73,A-2-D-809,Tulasi Bali Utpadan Krishak Pathshala Samuha,2077/078,2077-05-22,21,Bariyarpatti,5,Component A,Crop,FFS (Crop),,,,,,,,
74,A-2-D-810, Unique Bali Utpadan Krishak Pathshala Samuha,2077/078,2077-06-06,21,Bariyarpatti,5,Component A,Crop,FFS (Crop),,,,,,,,
75,A-2-D-811,Ram Janaki Bali Utpadan Krishak Pathshala Samuha,2077/078,2077-06-04,21,Bariyarpatti,3,Component A,Crop,FFS (Crop),,,,,,,,
76,A-2-C-828, Bakhrapalan Krishak Samuha,2077/078,2077-06-27,21,164,5,Component A,Livestock,Promotion Program (Goat),,,,,,,,
77,A-2-C-830,Lokeshwari Pashupalan Krishak Samuha,2077/078,2077-05-08,21,164,5,Component A,Livestock,Promotion Program (Dairy),,,,,,,,
78,A-2-C-832,Durga Bakhrapalan Krishak Samuha,2077/078,2077-04-20,21,164,3,Component A,Livestock,Promotion Program (Goat),,,,,,,,
79,A-2-C-833,Anjani Pashusewa Samuha,2077/078,2077-04-01,21,164,3,Component A,Livestock,Promotion Program (Goat),,,,,,,,
80,A-2-C-834,Saraswati Pashupalan Krishak Samuha,2077/078,2077-06-07,21,164,3,Component A,Livestock,Promotion Program (Goat),,,,,,,,
81,A-2-C-835,Mahadev Pashupalan Krishak Samuha,2077/078,2077-06-25,21,164,4,Component A,Livestock,Promotion Program (Goat),,,,,,,,
82,A-2-C-836,Dinabhadri Pashupalan Krishak Samuha,2077/078,2077-06-24,21,164,3,Component A,Livestock,Promotion Program (Poultry),,,,,,,,
83,A-2-C-850,Chaad Pashu Palan Krishak Samuha,2077/078,2077-06-27,21,164,4,Component A,Livestock,Promotion Program (Poultry),,,,,,,,
84,A-2-D-851,Chiriya Bhawan Pashupalan Samuha,2077/078,2077-05-02,21,Bariyarpatti,1,Component A,Livestock,Promotion Program (Poultry),,,,,,,,
85,A-2-D-853,Shiv pashupalan Samuha,2077/078,2077-06-10,21,Bariyarpatti,5,Component A,Livestock,Promotion Program (Goat),,,,,,,,
86,A-2-D-854,Santoshi Pashupalan Samuha,2077/078,2077-06-10,21,Bariyarpatti,5,Component A,Livestock,Promotion Program (Goat),,,,,,,,
87,A-2-D-855,Shrijana Pashupalan Samuha,2077/078,2077-05-03,21,Bariyarpatti,5,Component A,Livestock,Promotion Program (Goat),,,,,,,,
88,A-2-D-856,Dinabhadri Pashupalan Samuha,2077/078,2077-06-11,21,Bariyarpatti,1,Component A,Livestock,Promotion Program (Goat),,,,,,,,
89,A-2-D-857,Bhuwaneshwar Naath Pashupalan Samuha,2077/078,2077-04-25,21,Bariyarpatti,1,Component A,Livestock,Promotion Program (Goat),,,,,,,,
90,A-2-D-858,Ram Janaki Pashupalan Krishak Samuha,2077/078,2077-05-31,21,Bariyarpatti,5,Component A,Livestock,Promotion Program (Dairy),,,,,,,,
91,A-2-D-859,Janajyoti Bakhrapalan Krishak Samuha,2077/078,2077-04-18,21,Bariyarpatti,3,Component A,Livestock,Promotion Program (Goat),,,,,,,,
92,A-2-D-860,Jagriti Bakhrapalan Krishak Samuha,2077/078,2077-06-12,21,Bariyarpatti,4,Component A,Livestock,Promotion Program (Goat),,,,,,,,
93,A-2-D-861,Shiv Bakhrapalan Krishak Samuha,2077/078,1905-09-07,21,Bariyarpatti,3,Component A,Livestock,Promotion Program (Goat),,,,,,,,
94,A-2-D-862,Dihabaar Baba Bakhrapalan Krishak Samuha,2077/078,2077-04-28,21,Bariyarpatti,4,Component A,Livestock,Promotion Program (Goat),,,,,,,,
95,A-2-D-863,Maa Bhawani Pashupalan Krishak Samuha,2077/078,2077-06-02,21,Bariyarpatti,4,Component A,Livestock,Promotion Program (Dairy),,,,,,,,
96,A-2-D-864,Jay Maa Janaki Gai Bhaisi Dudh Utpadan Samuha,2077/078,2077-05-22,21,Bariyarpatti,3,Component A,Livestock,Promotion Program (Dairy),,,,,,,,
97,A-2-D-865,Gulsawaa Kukhura Palan Krishak Samuhaa,2077/078,2077-05-23,21,Bariyarpatti,4,Component A,Livestock,Promotion Program (Poultry),,,,,,,,
98,A-2-D-866,Dinabhadri Kukhurapalan Krishak Samuha Bariyarpatti,2077/078,2077-04-27,21,Bariyarpatti,4,Component A,Livestock,Promotion Program (Poultry),,,,,,,,
99,A-2-D-868,Daksha Janashakti Krishak Samuha,2077/078,2077-06-29,21,Bariyarpatti,4,Component A,Crop,Others,,,,,,,,
100,A-2-D-869,Janashakti Krishak Samuha,2077/078,2077-04-04,21,Bariyarpatti,4,Component A,Crop,Others,,,,,,,,
101,A-2-D-870,Jay Kisan Krishak Samuha,2077/078,2077-06-28,21,Bariyarpatti,3,Component A,Crop,Others,,,,,,,,
102,A-2-D-871,Jay Ma Bhawani Krishak Samuha,2077/078,2077-06-19,21,Bariyarpatti,3,Component A,Crop,Others,,,,,,,,
103,A-2-D-872,Jay Ma Sarswati Krishak Samuha,2077/078,2077-06-30,21,Bariyarpatti,3,Component A,Crop,Others,,,,,,,,
104,A-2-D-873,Jay Ma SHivshakti Krishak Samuha,2077/078,2077-06-11,21,Bariyarpatti,3,Component A,Crop,Others,,,,,,,,
105,A-2-D-874,Jay shree hanuman baba Krishak Samuha,2077/078,2077-06-27,21,Bariyarpatti,4,Component A,Crop,Others,,,,,,,,
106,A-2-D-875,Shree Rajdevi Mata Krishak Samuha,2077/078,2077-04-11,21,Bariyarpatti,3,Component A,Crop,Others,,,,,,,,
107,A-2-D-876,Shankar Bahudesiya Bali Utpadan Krishak Samuha,2077/078,2077-06-07,21,Bariyarpatti,4,Component A,Crop,Others,,,,,,,,
108,A-2-D-877,Shree Tripureshwar Nath Krishak Samuha,2077/078,2077-06-05,21,Bariyarpatti,4,Component A,Crop,Others,,,,,,,,
109,A-2-D-878,Jay Maa Durga Krishak Samuha,2077/078,2077-06-05,21,Bariyarpatti,3,Component A,Crop,Others,,,,,,,,
110,A-2-D-879,Bajarangbali Gharayasi poshan bagaicha samuh (Aama Samuh),2077/078,2077-05-27,21,Bariyarpatti,1,Component C,Nutrition,NFS (Nutrition),,,,,,,,
111,A-2-D-880,Bhola Shankar poshan bagaicha samuha (Aama Samuh),2077/078,2077-05-31,21,Bariyarpatti,1,Component C,Nutrition,Home Nutrition Garden (Nutrition),,,,,,,,
112,A-2-D-883,Bisahara baba gharasayi poshan bagaicha samuha ,2077/078,2077-05-17,21,Bariyarpatti,1,Component C,Nutrition,Home Nutrition Garden (Nutrition),,,,,,,,
113,A-2-D-892,Ganga gharasayi poshan bagaicha samuha (Aama Samuh),2077/078,2077-06-19,21,Bariyarpatti,1,Component C,Nutrition,Home Nutrition Garden (Nutrition),,,,,,,,
114,A-2-D-899,Bajarang Bali Krishak Samuha Bariyarpatti Kajara,2077/078,2077-06-27,21,Bariyarpatti,5,Component A,Crop,Others,,,,,,,,
115,A-2-D-900,Braham Baba Krishak Samuha,2077/078,2077-05-21,21,Bariyarpatti,1,Component A,Crop,Others,,,,,,,,
116,A-2-D-901,DihbarBaba  Krishak Samuha,2077/078,2077-05-31,21,Bariyarpatti,1,Component A,Crop,Others,,,,,,,,
117,A-2-D-902,Ganesh Krishak Samuha,2077/078,2077-06-18,21,Bariyarpatti,5,Component A,Crop,Others,,,,,,,,
118,A-2-D-903,Girdhari Das Krishak Samuha,2077/078,2077-06-26,21,Bariyarpatti,5,Component A,Crop,Others,,,,,,,,
119,A-2-D-904,  Kriteshwar Nath Krishak Samuha,2077/078,2077-06-02,21,Bariyarpatti,1,Component A,Crop,Others,,,,,,,,
120,A-2-D-910,Laxmi Farmers' Group,2077/078,2077-06-20,21,Bariyarpatti,1,Component A,Crop,Others,,,,,,,,
121,A-2-D-911,Maa Bhagwatii Krishak Samuha,2077/078,2077-04-11,21,Bariyarpatti,1,Component A,Crop,Others,,,,,,,,
122,A-2-D-913,Mahabir Krishak Samuha,2077/078,2077-06-09,21,Bariyarpatti,1,Component A,Crop,Others,,,,,,,,
123,A-2-D-915,Maha Laxmi Krishak Samuha,2077/078,2077-06-05,21,Bariyarpatti,5,Component A,Crop,Others,,,,,,,,
124,A-2-D-916, Raamjanaki Krishak Samuha,2077/078,2077-09-01,21,Bariyarpatti,5,Component A,Crop,Others,,,,,,,,
125,A-2-D-918,Shiva Krishak Samuha,2077/078,2077-06-07,21,Bariyarpatti,1,Component A,Crop,Others,,,,,,,,
126,A-2-D-919,Shivganga Shakti Krishak Samuha,2077/078,2077-06-25,21,Bariyarpatti,5,Component A,Crop,Others,,,,,,,,
127,A-2-D-921,Ujjawal Krishak Samuha,2077/078,2077-09-18,21,Bariyarpatti,5,Component A,Crop,Others,,,,,,,,
128,A-2-D-929,Jamuna gharasayi poshan bagaicha samuha (Aama Samuh),2077/078,2077-06-22,21,Bariyarpatti,1,Component C,Nutrition,Home Nutrition Garden (Nutrition),,,,,,,,
129,A-2-D-930,Mahdeb Baba Gharaesi Poshan Bagaecha(Aama) Samuha,2077/078,2077-05-21,21,Bariyarpatti,1,Component C,Nutrition,Home Nutrition Garden (Nutrition),,,,,,,,
130,A-2-D-931,Pragati Gharayashi Poshan Bagaecha Samuha,2077/078,1900-01-04,21,Bariyarpatti,1,Component C,Nutrition,Home Nutrition Garden (Nutrition),,,,,,,,
131,A-2-D-932,Sunaulo Gharayasi Poshan Bagaicha Samuha (Aama Samuha),2077/078,2077-06-21,21,Bariyarpatti,1,Component C,Nutrition,Home Nutrition Garden (Nutrition),,,,,,,,
132,A-2-D-934,Indra  Home Nutrition Garden (Aama Samuha),2077/078,2077-06-02,21,Bariyarpatti,3,Component C,Nutrition,Home Nutrition Garden (Nutrition),,,,,,,,
133,A-2-D-935,Shree Ram Pashupalan Krishak Samuha,2077/078,2077-05-26,21,Bariyarpatti,3,Component A,Livestock,Promotion Program (Goat),,,,,,,,
134,A-2-C-952,Bajrang Pashupalan Krishak Samuh,2077/078,2077-05-25,21,164,4,Component A,Livestock,Others,,,,,,,,
135,A-2-C-953,Bishara Pasupalan Krishak Samuha,2077/078,2077-05-24,21,164,2,Component A,Livestock,Others,,,,,,,,
136,A-2-D-955,Hariyali Pashupalan Samuha,2077/078,2077-06-13,21,Bariyarpatti,5,Component A,Livestock,Others,,,,,,,,
137,A-2-D-956,Indra Dudh Utpadan Krishak Pathshala,2077/078,2077-05-24,21,Bariyarpatti,1,Component A,Livestock,FFS (Dairy),,,,,,,,
138,A-2-D-957,Jan Samudayik Pashupalan Krishak Samuh,2077/078,2077-05-21,21,Bariyarpatti,1,Component A,Livestock,Others,,,,,,,,
139,A-2-D-958,Kalyan Pashupalan Samuha,2077/078,2077-06-14,21,Bariyarpatti,1,Component A,Livestock,Others,,,,,,,,
140,A-2-C-959,Krishna Pashupalan Krishak Samuh,2077/078,2077-05-31,21,164,2,Component A,Livestock,Others,,,,,,,,
141,A-2-D-960,Lachhan Singh Pashupalan Krishak Samuha,2077/078,2077-06-05,21,Bariyarpatti,5,Component A,Livestock,Others,,,,,,,,
142,A-2-D-961, Ma Bhagwati Pashupalan Krishak Samuh,2077/078,2077-06-04,21,Bariyarpatti,3,Component A,Livestock,Others,,,,,,,,
143,A-2-D-963,Samudayik Pashupalan Kriashak Samuha,2077/078,2077-06-11,21,Bariyarpatti,1,Component A,Livestock,Others,,,,,,,,
144,A-2-C-964,Motipur Pashupalan Krishak Samuh,2077/078,2077-05-02,21,164,2,Component A,Livestock,Others,,,,,,,,
145,A-2-D-965, Nagar Dihabar Baba Pashu Palan Kriashak Samuha,2077/078,2077-06-01,21,Bariyarpatti,5,Component A,Livestock,Others,,,,,,,,
146,A-2-C-966,Pragatishil Bakhra utpadan Krishak Pathshala,2077/078,2077-04-20,21,164,2,Component A,Livestock,FFS (Goat),,,,,,,,
147,A-2-D-969,Rajdevi Pashupalan Krishak Samuha,2077/078,2077-06-02,21,Bariyarpatti,3,Component A,Livestock,Promotion Program (Goat),,,,,,,,
148,A-2-D-970,Rakshya Kukhura Palan Pathshala ,2077/078,2077-06-02,21,Bariyarpatti,3,Component A,Livestock,FFS (Poultry),,,,,,,,
149,A-2-D-971,Sitaram Pashupalan Krishak Samuha,2077/078,2077-06-04,21,Bariyarpatti,4,Component A,Livestock,Others,,,,,,,,
150,A-2-C-972,Shreee Janaki Pashupalan Krishak Samuh,2077/078,2077-06-01,21,164,3,Component A,Livestock,Others,,,,,,,,
151,A-2-C-974,Ujyalo Bakhra Utpadan Krishak Pathala,2077/078,2077-09-07,21,164,4,Component A,Livestock,FFS (Goat),,,,,,,,
152,A-2-D-975,Saraswati Bakhra Utpadan Pathshala,2077/078,2077-05-23,21,Bariyarpatti,1,Component A,Livestock,FFS (Goat),,,,,,,,
153,A-2-C-976,Sanidev Pashupalan Krishak Samuha,2077/078,2077-04-25,21,164,4,Component A,Livestock,FFS (Dairy),,,,,,,,
154,A-2-D-979, Matair Pashupalan Samuha,2077/078,2077-06-16,21,Bariyarpatti,1,Component A,Livestock,Others,,,,,,,,
155,A-2-D-1001, Laxmi Pashupalan Krishak Samuha,2077/078,2077-06-18,21,Bariyarpatti,3,Component A,Livestock,Others,,,,,,,,
156,A-2-D-1002,Janhit Pashupalan Krishak Samuha,2077/078,2077-06-16,21,Bariyarpatti,3,Component A,Livestock,Others,,,,,,,,
157,A-2-D-1003, Harhar Mahadev Pashupalan Samuha,2077/078,2077-06-18,21,Bariyarpatti,1,Component A,Livestock,Promotion Program (Dairy),,,,,,,,
158,A-2-D-1040, Jay Maa Bhagawati  Home Nutrition Garden (Aama Samuha),2077/078,1900-01-30,21,Bariyarpatti,3,Component C,Nutrition,Home Nutrition Garden (Nutrition),,,,,,,,
159,A-2-D-1041,Jay maa Durga  Home Nutrition Garden (Aama Samuha) ,2077/078,2077-05-04,21,Bariyarpatti,3,Component C,Nutrition,Home Nutrition Garden (Nutrition),,,,,,,,
160,A-2-D-1042,  Maa Dihabarni Home Nutrition Garden (Aama Samuha),2077/078,1900-01-23,21,Bariyarpatti,3,Component C,Nutrition,Home Nutrition Garden (Nutrition),,,,,,,,
161,A-2-D-1043,Raj Devi Mata   Home Nutrition Garden (Aama Samuha),2077/078,2077-07-06,21,Bariyarpatti,3,Component C,Nutrition,Home Nutrition Garden (Nutrition),,,,,,,,
162,A-2-D-1044, Shibam Home Nutrition Garden (Aama Samuha),2077/078,2077-06-06,21,Bariyarpatti,3,Component C,Nutrition,Home Nutrition Garden (Nutrition),,,,,,,,
163,A-2-D-1045, Shree  Grahi Devi Mata Home Nutrition Garden (Aama Samuha),2077/078,2077-06-06,21,Bariyarpatti,3,Component C,Nutrition,Home Nutrition Garden (Nutrition),,,,,,,,
164,A-2-D-1046, Basmati Home Nutrition Garden (Aama Samuha),2077/078,1900-01-23,21,Bariyarpatti,4,Component C,Nutrition,Home Nutrition Garden (Nutrition),,,,,,,,
165,A-2-D-1048,Jay Matadi  Home Nutrition Garden (Aama Samuha),2077/078,1900-01-15,21,Bariyarpatti,4,Component C,Nutrition,Home Nutrition Garden (Nutrition),,,,,,,,
166,A-2-D-1049,Maa Sarade Home Nutrition Garden (Aama Samuha),2077/078,1900-01-19,21,Bariyarpatti,4,Component C,Nutrition,Home Nutrition Garden (Nutrition),,,,,,,,
167,A-2-D-1050,Ram Janki  Home Nutrition Garden (Aama Samuha),2077/078,1900-01-26,21,Bariyarpatti,4,Component C,Nutrition,Home Nutrition Garden (Nutrition),,,,,,,,
168,A-2-D-1052,Tenuwapatti Home Nutrition Garden (Aama Samuha),2077/078,1900-01-19,21,Bariyarpatti,4,Component C,Nutrition,Home Nutrition Garden (Nutrition),,,,,,,,
169,A-2-D-1206,Jay Ganesh Gharayasi Poshan Bagaicha Samuha (Aama Samuha),2077/078,1900-01-13,21,Bariyarpatti,5,Component C,Nutrition,Home Nutrition Garden (Nutrition),,,,,,,,
170,A-2-D-1207,Jay Maa Laxmi Gharayasi Poshan Bagaicha Samuha (Aama Samuha),2077/078,1900-01-16,21,Bariyarpatti,5,Component C,Nutrition,Home Nutrition Garden (Nutrition),,,,,,,,
171,A-2-D-1208,Ma Durga Gharayasi Poshan Bagaicha Samuha (Aama Samuha,2077/078,1900-01-15,21,Bariyarpatti,5,Component C,Nutrition,Home Nutrition Garden (Nutrition),,,,,,,,
172,A-2-D-1209,Santoshi Gharayasi Poshan Bagaicha Samuha (Aama Samuha),2077/078,2077-02-06,21,Bariyarpatti,5,Component C,Nutrition,Home Nutrition Garden (Nutrition),,,,,,,,
173,A-2-D-1210,Subidha Gharayasi Poshan Bagaicha Samuha (Aama Samuha),2077/078,2077-09-06,21,Bariyarpatti,5,Component C,Nutrition,Home Nutrition Garden (Nutrition),,,,,,,,
174,A-1-A-1227,Shree Baba Bajarang Bali Utpadan Krishak Samuha,2077/078,2077-06-28,22,Rajgadh,6,Component A,Crop,FFS (Crop),,,,,,,,
175,A-1-A-1228,Shree Chandra Bali Utpadan Krishak Pathshala Samuha,2077/078,2077-05-10,22,Rajgadh,6,Component A,Crop,FFS (Crop),,,,,,,,
